,,Sequence Summaries,Sequence Summaries,Sequence Summaries,Sequence Styles,Sequence Styles,Sequence Styles
pos,team,sequence time,passes per sequence,direct speed,10+ pass OP sequences,build up attacks,direct attacks
1,Manchester City,15.29,5.32,1.09,916.0,282.0,67.0
2,Liverpool,10.93,4.25,1.54,688.0,166.0,93.0
3,Chelsea,12.26,4.63,1.33,734.0,165.0,79.0
4,Tottenham Hotspur,10.91,4.04,1.35,528.0,127.0,66.0
5,Arsenal,10.78,3.88,1.19,498.0,109.0,60.0
6,Manchester United,9.99,3.84,1.58,439.0,102.0,69.0
7,West Ham United,9.22,3.5,1.52,380.0,69.0,60.0
8,Leicester City,9.59,3.7,1.33,462.0,89.0,72.0
9,Brighton and Hove Albion,9.74,3.61,1.21,455.0,80.0,40.0
10,Wolverhampton Wanderers,9.36,3.49,1.43,373.0,61.0,65.0
11,Newcastle United,7.09,2.58,1.5,187.0,36.0,65.0
12,Crystal Palace,8.55,3.26,1.4,384.0,53.0,41.0
13,Brentford,7.08,2.76,1.67,230.0,29.0,32.0
14,Aston Villa,8.06,3.04,1.71,259.0,56.0,72.0
15,Southampton,7.71,2.88,1.55,266.0,67.0,58.0
16,Everton,6.69,2.55,1.56,167.0,24.0,55.0
17,Leeds United,8.06,3.02,1.57,230.0,30.0,91.0
18,Burnley,5.83,2.38,1.69,112.0,17.0,34.0
19,Watford,6.73,2.5,1.62,143.0,24.0,65.0
20,Norwich City,8.02,2.97,1.42,238.0,44.0,50.0
